name,_uid
"""updated_at""",882e0cb2-9982-402d-a050-94f8cc779ae3
"""deadline""",ef370b27-f9c5-4220-bcbb-e4494216f91e
"""asset_name""",e9f76101-e9de-4c73-b8a5-3fec70e40a97
"""department""",61893284-fa06-4dd3-80d0-17d5902f365f
"""gender""",c4d3e24b-eeec-4367-8d48-5b552da82067
"""payment_status""",eb0659e2-69d8-4b18-b8ea-0e6aabf2557f
"""gender""",f7ddb868-6263-4b41-9c30-d150565583bf
"""task_name""",bf48cf1e-9983-4a98-95eb-763e7e961692
"""contract_start_date""",fe8405f7-97fa-43fc-a927-cc358dc540f6
"""contact_person""",37b917d2-8182-4a27-b2ee-f5740ac5ab2e
"""updated_at""",de132c2f-17e1-4a26-a639-40ca03fa64ce
"""contract_number""",d27af9af-e170-4bb7-bed8-78a4e0078607
"""payment_status""",c3a30a45-b975-4674-8260-fdcb7c33a265
"""total_amount""",f77be982-2f76-48ac-adfd-78a41a2e3e5b
"""updated_at""",c90e7b4c-9538-43c1-90e2-2b3122c3927f
"""customer_id""",cd576831-c7f8-44ef-b51a-968fc91a373b
"""id""",eec77e3f-43df-4d4f-9956-8a893521c247
"""updated_at""",665796ba-d72c-4e3b-829e-b8dce764d10e
"""gender""",629eff05-3b3b-41e6-ae48-de2e2043d1b7
"""payment_status""",f4e54b47-2168-44b4-b921-2ac31266ff56
"""task_status""",232b8222-6644-4c8e-9945-941081535d9b
"""salary""",c3d8711e-a5df-4720-9972-c6b0b8eefbb0
