_from_role,_to_name,_uid
"""Customer_Summary""","""QualityAssuranceTeam""",54d2c989-7874-4125-8606-fc92d3145fad
"""Customer_Summary""","""SalesTeam""",46b219d6-4a40-4838-af58-c9d184a283a2
"""Customer_Summary""","""SalesTeam""",efd616c1-6d5a-4764-9aed-c77ac74fa5a9
"""Customer_Summary""","""SalesTeam""",f28e387d-0128-4ea2-bb76-3d7f9375b58e
"""Customer_Summary""","""CustomerSupportTeam""",c217bed5-5b93-46a4-81c0-f84d97e7743c
"""Orders_Summary""","""CustomerSupportTeam""",9ac4af99-84d5-400a-8f68-fd7a71e953b5
"""Orders_Summary""","""FinanceTeam""",bbbb9a51-1589-44b4-99f4-dd19ae0832a9
"""Orders_Summary""","""SalesTeam""",389b328a-6d53-4ccd-b2b7-e7a80cb77846
"""Orders_Summary""","""CustomerSupportTeam""",147fe611-166b-4af5-8dd6-7780e8e39547
"""Orders_Summary""","""SalesTeam""",089f4748-d5f9-406e-9aa1-0a819b386152
