_from_role,_to_name,_uid
"""Customer_Summary""","""task_status""",d1ec4bc5-222e-425b-96a7-cc6bda6ae3f8
"""Customer_Summary""","""asset_name""",878c4e84-8285-45ac-ab98-252f168d6836
"""Customer_Summary""","""task_status""",527b3816-01c3-42ea-bce4-dfc04fc898e3
"""Customer_Summary""","""salary""",eeadb702-446c-4454-abe2-156a5d15c8f0
"""Customer_Summary""","""unit_price""",671f3183-2504-4c02-85c7-bc7022eb529c
"""Orders_Summary""","""ticket_number""",f4fcb335-ca4c-4d9c-b3a1-087b63b421e4
"""Orders_Summary""","""gender""",e34004bb-8626-4720-b122-6bfd07d0b239
"""Orders_Summary""","""priority""",c8c3263b-8a84-4306-bf9b-21897062f239
"""Orders_Summary""","""phone_number""",1a55ebcb-c507-4f05-a93f-fb8df5ab365e
"""Orders_Summary""","""invoice_number""",f5fc7a1e-3700-42cc-baca-79fc2457bfa5
