_from_name,_to_name,_uid
"""Departments""","""deadline""",19e7e1f6-6e57-43e4-a9d3-0f9629113af9
"""Departments""","""priority""",da645cda-801e-46fd-ae82-8b83a030df70
"""Departments""","""expense_amount""",202eeae6-bc76-4f6a-91f2-c848c43f4a66
"""Departments""","""date_of_birth""",7f596dfb-4792-49dd-bd7e-19e030c3fb98
"""Departments""","""contact_person""",8ff02d33-140a-4b23-ba38-00af37006105
"""Departments""","""task_status""",23768171-6747-4dc0-a4cd-686f4040f561
"""Departments""","""customer_id""",2f52b676-bbd7-4e4f-aad3-882fd31a6ec9
"""Departments""","""gender""",1a6980e6-6290-4c0c-b998-739f45e97d7f
"""Departments""","""expense_amount""",03f08a52-b2f6-47b3-893d-71dd1ba16e91
"""Departments""","""contract_end_date""",d3ec5041-aaa0-4bab-aa5b-c9939315b90c
"""Sales""","""payment_status""",f91177d2-270f-4d8e-8ed6-df4121024a98
"""Sales""","""priority_level""",6dd4f300-7533-4b02-b179-108350d57245
"""Sales""","""asset_value""",3852c05e-8522-4da0-8da3-59c6036aef19
"""Sales""","""phone_number""",3bc449b0-03aa-4d21-90c4-8c276776164e
"""Sales""","""task_name""",f0bb1785-7c84-422e-a0ef-1902994f8a4a
"""Sales""","""invoice_number""",bafe88c5-fcf1-4da2-8a72-4ea89c072913
"""Sales""","""priority_level""",60a084f2-4f4a-453c-a528-ed2a537c395a
"""Sales""","""task_name""",5c5025b2-dc61-4d79-bab5-37846d11cdcc
"""Sales""","""end_date""",80f252a7-b963-430a-aa64-32876cb24691
"""Sales""","""customer_id""",18f8b1de-48d8-464e-b37b-32bd7c261704
"""Projects""","""priority""",83d3183b-7e57-4a78-a0ca-939796247efb
"""Projects""","""end_date""",d1bf39da-4dcb-4321-8778-d4792999dbab
"""Projects""","""customer_id""",beb56082-23f4-490d-82e2-a1a83f7f1523
"""Projects""","""date_of_birth""",2ce65e2e-596d-48ad-a676-c7d840028251
"""Projects""","""salary""",34a6aedf-db28-4a32-836d-95959235af95
"""Projects""","""asset_name""",d6205689-de2d-49fb-becc-5ad03fd089bd
"""Projects""","""gender""",f824d93a-9080-4731-a543-730ff7b28289
"""Projects""","""salary""",eca79685-e095-45a8-b605-b245c76627dc
"""Projects""","""name""",95cfb340-277b-4ad4-9f65-18cc9d27d26d
"""Projects""","""task_name""",21c2f650-eb02-4cc2-b5ec-a62fd23f4887
"""Payments""","""contract_number""",e95683fc-2f76-411b-bfbd-47f775df7d8b
"""Payments""","""unit_price""",0a45318f-1fd6-4490-9b32-3b96150232e4
"""Payments""","""payment_status""",0f2ed37e-1d3d-4927-933f-45eef63b78c7
"""Payments""","""task_status""",cdc1c39d-2f91-48ca-96b6-e4974e1dd6cd
"""Payments""","""ticket_number""",b492b6da-c990-4319-bb4b-33db253825f1
"""Payments""","""id""",ae17e235-8516-4e2f-b492-748433342212
"""Payments""","""gender""",e5a329f3-3d50-4915-b415-32f162e8c0b6
"""Payments""","""email""",600c5e91-09ae-49bb-9c91-de04c6a3672f
"""Payments""","""payment_status""",d1b3228a-b4ce-4d3c-b146-6e154cacda47
"""Payments""","""priority""",74599acb-2c11-496d-b1b2-9b3fd92529df
"""Products""","""salary""",c65bc74a-2813-4d7f-b2f0-e01e7cb351fb
"""Products""","""date_of_birth""",75117b4d-ae9d-4a55-88d2-564ff295aab1
"""Products""","""gender""",e00aeaba-969c-4d6f-9b63-7cea1b656069
"""Products""","""phone_number""",54c923bf-aff0-4563-ab2b-8efda58be6ce
"""Products""","""payment_status""",a11bce47-1c3e-4279-9133-c643b787ffbf
"""Products""","""expense_amount""",296225bf-9770-4adf-a5e3-e94a5e82c565
"""Products""","""contract_end_date""",9df2b2da-ff93-4fee-b7a8-d494143de37d
"""Products""","""deadline""",171c8d02-6cb9-4381-b026-6a5f13188e8a
"""Products""","""end_date""",03a438b8-5765-49cd-a30f-43a736d7e431
"""Products""","""gender""",81a5aada-c953-490d-9a1d-21941d72a7b0
"""Suppliers""","""date_of_birth""",d5dbe8d3-1fb7-4ada-aa62-df91fbaa4781
"""Suppliers""","""email""",561e5175-8b97-4fd6-8994-88a218dcb5d7
"""Suppliers""","""task_name""",3f1a509c-140d-4cc1-8d89-0d6db9327b21
"""Suppliers""","""priority_level""",8637bf36-8548-4332-9f82-80d330510856
"""Suppliers""","""end_date""",370c5ad6-1ca5-4d53-afb2-6dca634c5c13
"""Suppliers""","""task_status""",48a63013-2171-4a0e-84c2-3824d8991cb6
"""Suppliers""","""contract_number""",1a21b38f-f097-4ee4-a378-e375a8ae397d
"""Suppliers""","""task_name""",dc23135e-69f6-41f9-b8b7-aa3ddb4b9cca
"""Suppliers""","""invoice_number""",293bb612-f014-4213-8d71-a993d2648eab
"""Suppliers""","""gender""",9c08ef65-b8b3-4a8e-bfdd-27d9b5279a65
"""Orders""","""unit_price""",93fa13d1-6a1f-4f16-819a-2100d30ac659
"""Orders""","""id""",db3bde86-a0c3-4e29-a35b-95eee99c4a9f
"""Orders""","""customer_id""",1e00b8c7-6792-439c-bfff-0c2719f70853
"""Orders""","""ticket_number""",6f123d31-9b0b-4041-ad81-da81d5a7fc78
"""Orders""","""asset_value""",41b4e91a-6a7f-4caf-bb50-a44bb4113007
"""Orders""","""name""",58936028-cc7b-404d-acc9-4e977f02a3de
"""Orders""","""task_name""",820cf647-55f8-4d20-bfc2-ac01efc7f61c
"""Orders""","""salary""",3fc8b8d0-41b7-4d10-99d6-6a7d2397d70f
"""Orders""","""priority_level""",14a4223c-77a9-4888-810e-36604e8db03e
"""Orders""","""asset_name""",d109be85-e77d-4f93-bb16-0002c940399a
